"","WDID","spill_impact","Status","Region","Agency","Collection.System","County","LRO","Street","City","Zip","ID"
"123","2SSO10170",51327887,"Active","2","Richmond City","Richmond City CS","Contra Costa","Ryan Anthony Smith","450 Civiv Center Plaza  ","Richmond",94804,1
"706","6SSO11169",43331600,"Active","6V","Victor Valley Wastewater Reclamation Authority","Victor Valley Wastewater CS","San Bernardino","Latif  Laari","20111 Shay Road ","Victorville",92394,2
"712","6SSO11425",12017615,"Active","6V","Victorville City","Victorville SD CS","San Bernardino","Doug Mathews","14343 Civic Drive ","Victorville",92392,3
"272","4SSO10362",11759262,"Active","4","Alhambra City","Alhambra City CS","Los Angeles","David  Dolphin","111 First Street ","Alhambra",91801,4
"623","5SSO11311",9777927,"Active","5F","Madera County Public Works Department - Special Districts","MD-22A Oakhurst CS","Madera","Chad  Brown","200 4th Street ","Madera",93637,5
"525","5SSO10981",7094363,"Active","5S","Lake Berryessa Resort Improvement District","Lake Berryessa Resort CS","Napa","Phillip  Miller","2446 Stagecoach Canyon Road ","Pope Valley",94567,6
"90","2SSO10131",6951920,"Active","2","East Bay MUD (CS & SSOs)","Ebmud CS","Alameda","Maura Bonnarens"," PO Box 24055  704","Oakland",94623,7
"789","8SSO10597",5898339,"Active","8","Running Springs Water Dist","Running Springs CS","San Bernardino","Isaiah Hall","31242 Hilltop Boulevard ","Running Springs",92382,8
"850","9SSO10674",5690673,"Active","9","Oceanside City","City of Oceanside Collection System, La Salina WWTP","San Diego","Lori Rigby","300 Coast Highway ","Oceanside",92054,9
"99","2SSO10142",3953657,"Active","2","Town Of Hillsborough","Town Of Hillsborough CS","San Mateo","Robert  Galindo","1600 Floribunda Avenue ","Hillsborough",94010,10
"453","5SSO10835",2880667,"Active","5R","Mt Shasta City","Mt Shasta CS","Siskiyou","David  Torres","305 Mt Shasta Boulevard ","Mt Shasta",96067,11
"241","3SSO10345",2200310,"Active","3","Vandenberg Village CSD","Vandenberg Village CSD CS","Santa Barbara","Michael Garner","3757 Constellation Road ","Vandenberg Village",93436,12
"506","5SSO10940",2067516,"Active","5F","Taft City","Taft City CS","Kern","Anthony Bonanno"," PO Box 413  ","Taft",93268,13
"37","1SSO10067",1902622,"Active","1","Sonoma County Water Agency (SCWA) R1","SCWA Russian River CSD CS","Sonoma","David Hamilton Royall","404 Aviation Boulevard ","Santa Rosa",95403,14
"127","2SSO10176",1703732,"Active","2","San Bruno City","San Bruno City CS","San Mateo","James H Burch","567 El Camino Road ","San Bruno",94066,15
"730","7SSO10515",1351300,"Active","7","Calexico City ","Calexico CS","Imperial","Arturo Estrada","608 Heber Avenue ","Calexico",92231,16
"836","9SSO10652",1334413,"Active","9","La Mesa City","City of La Mesa CS","San Diego","James Harold Steel","8130 Allison Avenue ","La Mesa",91942,17
"516","5SSO10965",1299799,"Active","5S","Placerville City","Hangtown Creek CS","El Dorado","Rick Ferriera","3101 Center Street ","Placerville",95667,18
"236","3SSO10337",1294514,"Active","3","South San Luis Obispo CSD","South San Luis Obispo Sd CS","San Luis Obispo","Gerhardt  Hubner"," PO Box 339  ","Oceano",93445,19
"208","3SSO10287",1169106,"Active","3","Marina Coast WD","Marina Coast Wd CS","Monterey","Richard Green","11 Reservation Road ","Marina",93933,20
