"","WDID","spill_Surf_volume","Status","Region","Agency","Collection.System","County","LRO","Street","City","Zip","ID"
"706","6SSO11169",43316113,"Active","6V","Victor Valley Wastewater Reclamation Authority","Victor Valley Wastewater CS","San Bernardino","Latif  Laari","20111 Shay Road ","Victorville",92394,1
"623","5SSO11311",9774627,"Active","5F","Madera County Public Works Department - Special Districts","MD-22A Oakhurst CS","Madera","Chad  Brown","200 4th Street ","Madera",93637,2
"90","2SSO10131",6948620,"Active","2","East Bay MUD (CS & SSOs)","Ebmud CS","Alameda","Maura Bonnarens"," PO Box 24055  704","Oakland",94623,3
"789","8SSO10597",5891334,"Active","8","Running Springs Water Dist","Running Springs CS","San Bernardino","Isaiah Hall","31242 Hilltop Boulevard ","Running Springs",92382,4
"453","5SSO10835",2885454,"Active","5R","Mt Shasta City","Mt Shasta CS","Siskiyou","David  Torres","305 Mt Shasta Boulevard ","Mt Shasta",96067,5
"525","5SSO10981",2580214,"Active","5S","Lake Berryessa Resort Improvement District","Lake Berryessa Resort CS","Napa","Phillip  Miller","2446 Stagecoach Canyon Road ","Pope Valley",94567,6
"37","1SSO10067",1901094,"Active","1","Sonoma County Water Agency (SCWA) R1","SCWA Russian River CSD CS","Sonoma","David Hamilton Royall","404 Aviation Boulevard ","Santa Rosa",95403,7
"127","2SSO10176",1642652,"Active","2","San Bruno City","San Bruno City CS","San Mateo","James H Burch","567 El Camino Road ","San Bruno",94066,8
"730","7SSO10515",1350800,"Active","7","Calexico City ","Calexico CS","Imperial","Arturo Estrada","608 Heber Avenue ","Calexico",92231,9
"836","9SSO10652",1326265,"Active","9","La Mesa City","City of La Mesa CS","San Diego","James Harold Steel","8130 Allison Avenue ","La Mesa",91942,10
"236","3SSO10337",1294414,"Active","3","South San Luis Obispo CSD","South San Luis Obispo Sd CS","San Luis Obispo","Gerhardt  Hubner"," PO Box 339  ","Oceano",93445,11
"516","5SSO10965",1294389,"Active","5S","Placerville City","Hangtown Creek CS","El Dorado","Rick Ferriera","3101 Center Street ","Placerville",95667,12
"855","9SSO10680",1029275,"Active","9","Padre Dam Municipal Water District","Padre Dam CS","San Diego","Kyle  Swanson","9300 Fanita Parkway ","Santee",92071,13
"118","2SSO10165",817773,"Active","2","Petaluma City DPW","Petaluma City CS","Sonoma","Kent Reynolds Carothers"," P.O. Box  ","Petaluma",94953,14
"126","2SSO10175",732061,"Active","2","SEWER AUTHORITY MID-COASTSIDE","Sam CS","San Mateo","Beverli Marshall","1000 Cabrillo Highway ","Half Moon Bay",94019,15
"139","2SSO10195",534331,"Active","2","Sonoma County Water Agency (SCWA) R1","Sonoma County Water -Penngrove CS","Sonoma","David Hamilton Royall","404 Aviation Boulevard ","Santa Rosa",95403,16
"712","6SSO11425",503913,"Active","6V","Victorville City","Victorville SD CS","San Bernardino","Doug Mathews","14343 Civic Drive ","Victorville",92392,17
"641","5SSO11363",455005,"Active","5S","Placer Cnty Dept of Facility Services","Dry Creek, Zone 173 CS","Placer","Bill Zimmerman","11476 C Avenue ","Auburn",95603,18
"514","5SSO10961",425905,"Active","5F","Groveland CSD","Groveland CS","Tuolumne","Jon Sterling"," PO Box 350  ","Groveland",95321,19
"245","3SSO11408",384081,"Active","3","Hollister City","Hollister Municipal Sewer System CS","San Benito","Henry Gonzales","375 Fifth St Street ","Hollister",95023,20
